Campaign,Campaign Type,Campaign Status,Budget,Budget type,Networks,Languages,Location,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Final URL,Ad type,Ad status,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
FB TR Evde Antrenman,Search,Paused,150,Daily,Google search,Turkish,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,,,,pdf,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,,,,indir,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,,,,video,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,,,,youtube,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,,,,salon,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,,,,spor salonu fiyat,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,,,,ücretli,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,,,,kurs,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,,,,bedava film,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,,,,oyun,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,Ekipmansız ev programı,Enabled,4,,,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,Ekipmansız ev programı,,,evde spor programı,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,Ekipmansız ev programı,,,evde antrenman programı,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,Ekipmansız ev programı,,,ekipmansız antrenman,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,Ekipmansız ev programı,,,evde spor hareketleri,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,Ekipmansız ev programı,,,ekipmansız evde spor,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,Ekipmansız ev programı,,,evde egzersiz programı,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,Ekipmansız ev programı,,,,,https://fullbalance.app/evde-spor-programi?utm_source=google&utm_medium=cpc&utm_campaign=home_tr_search&utm_content={keyword},Responsive search ad,Enabled,evde,program,Ekipmansız Evde Spor Programı,Ücretsiz Kişisel Plan,Seviyene Göre Set ve Tekrar,Kredi Kartı Gerekmez,Dinlenme Günleri Planlı,Beslenme Planı Dahil,2 Dakikada Planın Hazır,Gerçek Örnek Hafta Sayfada,Full Balance,Salon Makinesi Yok,"Haftada 3, 4 veya 5 Gün",Öncelikli Bölge Seçimi,Ağrı Bildirince Kolaylaşır,Abonelik Yok,"Türkçe, Ücretsiz, Reklamsız","Hedef, seviye ve gün sayına göre ekipmansız ev programı. Set, tekrar, dinlenme ve kolay alternatif.","Önce sayfadaki örnek haftayı incele, sonra kendi planını oluştur. Abonelik ve premium duvarı yok.",Yeni başlayanlar için kontrollü ilerleme. Ağrı bildirirsen program hareketi kolaylaştırır.,"Beslenme, su ve uyku takibi aynı planda. Tamamen ücretsiz, kredi kartı istenmez."
FB TR Evde Antrenman,,,,,,,,Dambıl ev programı,Enabled,4,,,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,Dambıl ev programı,,,evde dambıl programı,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,Dambıl ev programı,,,evde dambıl antrenman,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,Dambıl ev programı,,,dambıl ile antrenman programı,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,Dambıl ev programı,,,evde kas geliştirme,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,Dambıl ev programı,,,evde kas yapma programı,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB TR Evde Antrenman,,,,,,,,Dambıl ev programı,,,,,https://fullbalance.app/evde-dambil-antrenman-programi?utm_source=google&utm_medium=cpc&utm_campaign=home_tr_dumbbell&utm_content={keyword},Responsive search ad,Enabled,dambil,program,Dambılla Evde Antrenman,Evde Kas Geliştirme Planı,Ücretsiz Kişisel Program,Seviyene Göre Set ve Tekrar,Kredi Kartı Gerekmez,Beslenme Planı Dahil,Salon Makinesi Yok,Full Balance,Dinlenme Günleri Planlı,"Haftada 3, 4 veya 5 Gün",Öncelikli Bölge Seçimi,Örnek Hafta Sayfada,,,,"Dambıl veya bantla evde çalış. Makine hareketi yok, beslenme ve su takibi aynı planda. Tamamen ücretsiz.","Hedef, seviye ve gün sayına göre dambıl programı. Set, tekrar, dinlenme ve kolay alternatif.","Önce sayfadaki örnek haftayı incele, sonra kendi planını oluştur. Abonelik yok.",
FB ES Entrenamiento en Casa,Search,Paused,6,Daily,Google search,Spanish,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,,,,pdf,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,,,,descargar,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,,,,youtube,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,,,,gimnasio precio,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,,,,curso,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,,,,gratis película,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,,,,juego,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,Sin material,Enabled,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,Sin material,,,rutina en casa sin equipo,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,Sin material,,,entrenamiento en casa sin material,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,Sin material,,,plan de entrenamiento en casa gratis,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,Sin material,,,app de entrenamiento gratis,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,Sin material,,,rutina de ejercicios en casa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,Sin material,,,,,https://fullbalance.app/es/entrenamiento-en-casa-sin-equipo?utm_source=google&utm_medium=cpc&utm_campaign=home_es_search&utm_content={keyword},Responsive search ad,Enabled,casa,plan,Plan en Casa sin Material,"Gratis, sin Tarjeta",Series y Reps por Nivel,Nutrición Incluida,Semana de Ejemplo Real,Tu Plan en 2 Minutos,Full Balance,Sin Máquinas de Gimnasio,Días de Descanso Planificados,"3, 4 o 5 Días por Semana",Elige tu Zona Prioritaria,Sin Suscripción,,,,"Plan personal para entrenar en casa según tu nivel, objetivo y días. Series, reps y descanso claros.",Mira primero la semana de ejemplo en la página y luego crea tu plan. Sin suscripción.,"Nutrición, agua y sueño en el mismo plan. Totalmente gratis, sin tarjeta de crédito.",
FB ES Entrenamiento en Casa,,,,,,,,Con mancuernas,Enabled,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,Con mancuernas,,,rutina con mancuernas en casa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,Con mancuernas,,,entrenamiento con mancuernas en casa,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,Con mancuernas,,,rutina de mancuernas para principiantes,Phrase,,,,,,,,,,,,,,,,,,,,,,,,
FB ES Entrenamiento en Casa,,,,,,,,Con mancuernas,,,,,https://fullbalance.app/es/entrenamiento-en-casa-con-mancuernas?utm_source=google&utm_medium=cpc&utm_campaign=home_es_dumbbell&utm_content={keyword},Responsive search ad,Enabled,mancuernas,plan,Rutina con Mancuernas,"Gratis, sin Tarjeta",Series y Reps por Nivel,Nutrición Incluida,Sin Máquinas de Gimnasio,Full Balance,Semana de Ejemplo Real,Tu Plan en 2 Minutos,Días de Descanso Planificados,Sin Suscripción,,,,,,"Mancuernas o bandas, sin máquinas. Nutrición, agua y sueño en el mismo plan. Totalmente gratis.","Plan personal según tu nivel, objetivo y días. Series, reps y descanso claros.",,
